1,肖申克的救赎,9.7,1994,美国,犯罪 剧情
2,霸王别姬,9.6,1993,中国大陆 中国香港,剧情 爱情 同性
3,这个杀手不太冷,9.4,1994,法国,剧情 动作 犯罪
4,阿甘正传,9.5,1994,美国,剧情 爱情
5,美丽人生,9.5,1997,意大利,剧情 喜剧 爱情 战争
6,泰坦尼克号,9.4,1997,美国,剧情 爱情 灾难
7,千与千寻,9.3,2001,日本,剧情 动画 奇幻
8,辛德勒的名单,9.5,1993,美国,剧情 历史 战争
9,盗梦空间,9.3,2010,美国 英国,剧情 科幻 悬疑 冒险
10,忠犬八公的故事,9.3,2009,美国 英国,剧情
11,机器人总动员,9.3,2008,美国,爱情 科幻 动画 冒险
12,三傻大闹宝莱坞,9.2,2009,印度,剧情 喜剧 爱情 歌舞
13,放牛班的春天,9.3,2004,法国 瑞士 德国,剧情 音乐
14,海上钢琴师,9.2,1998,意大利,剧情 音乐
15,楚门的世界,9.2,1998,美国,剧情 科幻
16,大话西游之大圣娶亲,9.2,1995,中国香港 中国大陆,喜剧 爱情 奇幻 古装
17,星际穿越,9.3,2014,美国 英国 加拿大 冰岛,剧情 科幻 冒险
18,龙猫,9.2,1988,日本,动画 奇幻 冒险
19,熔炉,9.3,2011,韩国,剧情
20,教父,9.3,1972,美国,剧情 犯罪
21,无间道,9.2,2002,香港,剧情 犯罪 悬疑
22,疯狂动物城,9.2,2016,美国,喜剧 动画 冒险
23,当幸福来敲门,9.1,2006,美国,剧情 传记 家庭
24,怦然心动,9.0,2010,美国,剧情 喜剧 爱情
25,触不可及,9.2,2011,法国,剧情 喜剧
26,蝙蝠侠：黑暗骑士,9.1,2008,美国 英国,剧情 动作 科幻 犯罪 惊悚
27,乱世佳人,9.3,1939,美国,剧情 历史 爱情 战争
28,活着,9.2,1994,中国大陆 中国香港,剧情 历史 家庭
29,控方证人,9.6,1957,美国,剧情 犯罪 悬疑
30,少年派的奇幻漂流,9.0,2012,美国 中国台湾 英国 加拿大,剧情 奇幻 冒险
31,指环王3：王者无敌,9.2,2003,美国 新西兰,剧情 动作 奇幻 冒险
32,摔跤吧！爸爸,9.0,2016,印度,剧情 传记 运动 家庭
33,天空之城,9.1,1986,日本,动画 奇幻 冒险
34,鬼子来了,9.2,2000,中国大陆,剧情 历史 战争
35,十二怒汉,9.4,1957,美国,剧情
36,天堂电影院,9.2,1988,意大利 法国,剧情 爱情
37,飞屋环游记,9.0,2009,美国,剧情 喜剧 动画 冒险
38,大话西游之月光宝盒,9.0,1995,香港 中国大陆,喜剧 爱情 奇幻 古装
39,哈尔的移动城堡,9.0,2004,日本,动画 奇幻 冒险
40,罗马假日,9.0,1953,美国,喜剧 剧情 爱情
41,搏击俱乐部,9.0,1999,美国 德国,剧情 动作 悬疑 惊悚
42,末代皇帝,9.2,1987,英国 意大利 中国大陆 法国,剧情 传记 历史
43,寻梦环游记,9.0,2017,美国,喜剧 动画 奇幻 音乐
44,闻香识女人,9.0,1992,美国,剧情
45,辩护人,9.2,2013,韩国,剧情
46,素媛,9.2,2013,韩国,剧情
47,窃听风暴,9.1,2006,德国,剧情 悬疑
48,死亡诗社,9.0,1989,美国,剧情
49,两杆大烟枪,9.1,1998,英国,剧情 喜剧 犯罪
50,飞越疯人院,9.1,1975,美国,剧情
51,指环王2：双塔奇兵,9.0,2002,美国 新西兰,剧情 动作 奇幻 冒险
52,教父2,9.2,1974,美国,剧情 犯罪
53,狮子王,9.0,1994,美国,动画 冒险 歌舞
54,指环王1：魔戒再现,9.0,2001,新西兰 美国,剧情 动作 奇幻 冒险
55,V字仇杀队,8.9,2005,美国 英国 德国,剧情 动作 科幻 惊悚
56,美丽心灵,9.0,2001,美国,传记 剧情
57,饮食男女,9.1,1994,中国台湾 美国,剧情 家庭
58,海豚湾,9.3,2009,美国,纪录片
59,何以为家,9.1,2018,黎巴嫩 法国 美国,剧情
60,情书,8.9,1995,日本,剧情 爱情
61,钢琴家,9.1,2002,法国 德国 英国 波兰,剧情 传记 历史 战争 音乐
62,大闹天宫,9.3,1961(中国大陆),1964(中国大陆),1978(中国大陆)
63,哈利・波特与魔法石,8.9,2001,美国 英国,奇幻 冒险
64,本杰明・巴顿奇事,8.9,2008,美国,剧情 爱情 奇幻
65,看不见的客人,8.8,2016,西班牙,剧情 犯罪 悬疑 惊悚
66,黑客帝国,8.9,1999,美国 澳大利亚,动作 科幻
67,西西里的美丽传说,8.8,2000,意大利 美国,剧情 战争 情色
68,小鞋子,9.2,1997,伊朗,剧情 儿童 家庭
69,美国往事,9.2,1984,意大利 美国,犯罪 剧情
70,让子弹飞,8.8,2010,中国大陆 中国香港,剧情 喜剧 动作 西部
71,拯救大兵瑞恩,9.0,1998,美国,剧情 历史 战争
72,音乐之声,9.0,1965,美国,剧情 传记 爱情 歌舞
73,猫鼠游戏,8.9,2002,美国 加拿大,传记 犯罪 剧情
74,致命魔术,8.8,2006,美国 英国,剧情 悬疑 惊悚
75,七宗罪,8.8,1995,美国,剧情 犯罪 悬疑 惊悚
76,被嫌弃的松子的一生,8.9,2006,日本,剧情 歌舞
77,低俗小说,8.8,1994,美国,剧情 喜剧 犯罪
78,沉默的羔羊,8.8,1991,美国,剧情 犯罪 惊悚
79,蝴蝶效应,8.8,2004,美国 加拿大,剧情 悬疑 科幻 惊悚
80,春光乍泄,8.9,1997,中国香港 日本 韩国,剧情 爱情 同性
81,穿条纹睡衣的男孩,9.0,2008,英国 美国,剧情 战争
82,勇敢的心,8.9,1995,美国,动作 传记 剧情 历史 战争
83,天使爱美丽,8.7,2001,法国 德国,喜剧 爱情
84,剪刀手爱德华,8.7,1990,美国,剧情 奇幻 爱情
85,心灵捕手,8.8,1997,美国,剧情
86,禁闭岛,8.8,2010,美国,剧情 悬疑 惊悚
87,布达佩斯大饭店,8.8,2014,美国 德国 英国,剧情 喜剧 冒险
88,阿凡达,8.7,2009,美国 英国,动作 战争 科幻 冒险
89,入殓师,8.8,2008,日本,剧情
90,幽灵公主,8.9,1997,日本,动画 奇幻 冒险
91,加勒比海盗,8.7,2003,美国,动作 冒险 奇幻
92,摩登时代,9.3,1936,美国,剧情 喜剧 爱情
93,致命ID,8.7,2003,美国,剧情 悬疑 惊悚
94,断背山,8.7,2005,美国 加拿大,剧情 爱情 同性 家庭
95,阳光灿烂的日子,8.8,1994,中国大陆 中国香港,剧情 爱情
96,重庆森林,8.7,1994,中国香港,剧情 爱情
97,第六感,8.8,1999,美国,剧情 悬疑 惊悚
98,狩猎,9.1,2012,丹麦 瑞典,剧情
99,喜剧之王,8.7,1999,香港,喜剧 剧情 爱情
100,玛丽和马克思,8.9,2009,澳大利亚,剧情 喜剧 动画
101,消失的爱人,8.7,2014,美国,剧情 犯罪 悬疑 惊悚
102,告白,8.7,2010,日本,剧情 惊悚
103,小森林 夏秋篇,9.0,2014,日本,剧情
104,大鱼,8.8,2003,美国,剧情 家庭 奇幻 冒险
105,一一,9.0,2000,中国台湾 日本,剧情 爱情 家庭
106,我不是药神,9.0,2018,中国大陆,剧情 喜剧
107,请以你的名字呼唤我,8.8,2017,意大利 法国 巴西 美国 荷兰 德国,剧情 爱情 同性
108,阳光姐妹淘,8.8,2011,韩国,剧情 喜剧
109,爱在黎明破晓前,8.8,1995,美国 奥地利 瑞士,剧情 爱情
110,射雕英雄传之东成西就,8.7,1993,香港,喜剧 奇幻 武侠 古装
111,甜蜜蜜,8.8,1996,香港,剧情 爱情
112,侧耳倾听,8.9,1995,日本,剧情 爱情 动画
113,红辣椒,9.0,2006,日本,动画 悬疑 科幻 惊悚
114,驯龙高手,8.7,2010,美国,动画 奇幻 冒险
115,倩女幽魂,8.7,1987,中国香港,爱情 奇幻 武侠 古装
116,杀人回忆,8.8,2003,韩国,犯罪 剧情 悬疑 惊悚
117,海蒂和爷爷,9.1,2015,德国 瑞士 南非,剧情 冒险 家庭
118,超脱,8.8,2011,美国,剧情
119,恐怖直播,8.8,2013,韩国,剧情 犯罪 悬疑
120,7号房的礼物,8.8,2013,韩国,剧情 喜剧 家庭
121,菊次郎的夏天,8.8,1999,日本,剧情 喜剧
122,小森林 冬春篇,9.0,2015,日本,剧情
123,爱在日落黄昏时,8.8,2004,美国,剧情 爱情
124,哈利・波特与死亡圣器(下),8.7,2011,美国 英国,剧情 悬疑 奇幻 冒险
125,风之谷,8.8,1984,日本,动画 奇幻 冒险
126,幸福终点站,8.7,2004,美国,喜剧 剧情 爱情
127,蝙蝠侠：黑暗骑士崛起,8.7,2012,美国 英国,剧情 动作 科幻 犯罪 惊悚
128,萤火之森,8.8,2011,日本,剧情 爱情 动画 奇幻
129,上帝之城,8.9,2002,巴西 法国,犯罪 剧情
130,借东西的小人阿莉埃蒂,8.8,2010,日本,动画 奇幻 冒险
131,唐伯虎点秋香,8.6,1993,香港,喜剧 爱情 古装
132,超能陆战队,8.6,2014,美国,喜剧 动作 科幻 动画 冒险
133,神偷奶爸,8.6,2010,美国 法国,喜剧 动画 冒险
134,无人知晓,9.1,2004,日本,剧情
135,怪兽电力公司,8.7,2001,美国,儿童 喜剧 动画 奇幻 冒险
136,电锯惊魂,8.7,2004,美国,悬疑 惊悚 恐怖
137,玩具总动员3,8.8,2010,美国,喜剧 动画 奇幻 冒险
138,岁月神偷,8.7,2010,中国香港 中国大陆,剧情 家庭
139,血战钢锯岭,8.7,2016,美国 澳大利亚,剧情 传记 历史 战争
140,谍影重重3,8.8,2007,美国 德国,动作 悬疑 惊悚
141,疯狂原始人,8.7,2013,美国,喜剧 动画 冒险
142,英雄本色,8.7,1986,中国香港,剧情 动作 犯罪
143,七武士,9.2,1954,日本,动作 冒险 剧情
144,喜宴,8.9,1993,中国台湾 美国,剧情 喜剧 爱情 同性 家庭
145,萤火虫之墓,8.7,1988,日本,动画 剧情 战争
146,东邪西毒,8.6,1994,中国香港 中国台湾,剧情 动作 爱情 武侠 古装
147,真爱至上,8.6,2003,英国 美国 法国,喜剧 剧情 爱情
148,傲慢与偏见,8.6,2005,法国 英国 美国,剧情 爱情
149,时空恋旅人,8.7,2013,英国,喜剧 爱情 奇幻
150,贫民窟的百万富翁,8.6,2008,英国 美国,剧情 爱情
151,黑天鹅,8.5,2010,美国,剧情 惊悚
152,记忆碎片,8.6,2000,美国,犯罪 剧情 悬疑 惊悚
153,心迷宫,8.7,2014,中国大陆,剧情 犯罪 悬疑
154,纵横四海,8.8,1991,中国香港,剧情 喜剧 动作 犯罪
155,教父3,8.8,1990,美国,剧情 犯罪
156,荒蛮故事,8.8,2014,阿根廷 西班牙,剧情 喜剧 犯罪
157,完美的世界,9.1,1993,美国,剧情 犯罪
158,达拉斯买家俱乐部,8.7,2013,美国,剧情 传记 同性
159,雨人,8.7,1988,美国,剧情
160,三块广告牌,8.7,2017,美国 英国,剧情 犯罪
161,花样年华,8.6,2000,中国香港,剧情 爱情
162,被解救的姜戈,8.7,2012,美国,剧情 动作 西部 冒险
163,卢旺达饭店,8.9,2004,英国 南非 意大利 美国,剧情 历史 战争
164,你的名字。,8.4,2016,日本,剧情 爱情 动画
165,我是山姆,8.9,2001,美国,剧情 家庭
166,头脑特工队,8.7,2015,美国,喜剧 动画 冒险
167,海边的曼彻斯特,8.6,2016,美国,剧情 家庭
168,你看起来好像很好吃,8.8,2010,日本,剧情 动画 儿童
169,哪吒闹海,9.0,1979,中国大陆,冒险 动画 奇幻
170,恋恋笔记本,8.5,2004,美国,剧情 爱情
171,无敌破坏王,8.7,2012,美国,喜剧 动画 奇幻 冒险
172,冰川时代,8.5,2002,美国,喜剧 动画 冒险
173,二十二,8.7,2015,中国大陆,纪录片
174,虎口脱险,8.9,1966,法国 英国,喜剧 战争
175,海洋,9.1,2009,法国 瑞士 西班牙 美国 阿联酋,纪录片
176,雨中曲,9.0,1952,美国,喜剧 歌舞 爱情
177,未麻的部屋,8.9,1997,日本,动画 奇幻 惊悚
178,模仿游戏,8.6,2014,英国 美国,剧情 传记 战争 同性
179,爆裂鼓手,8.7,2014,美国,剧情 音乐
180,一个叫欧维的男人决定去死,8.8,2015,瑞典,剧情
181,忠犬八公物语,9.1,1987,日本,剧情
182,燃情岁月,8.8,1994,美国,剧情 爱情 战争 西部
183,人工智能,8.6,2001,美国,冒险 剧情 科幻
184,天书奇谭,9.2,1983(中国大陆),2019(中国大陆重映),中国大陆
185,房间,8.8,2015,爱尔兰 加拿大 英国 美国,剧情 家庭
186,魔女宅急便,8.6,1989,日本,动画 奇幻 冒险
187,穿越时空的少女,8.6,2006,日本,剧情 爱情 科幻 动画
188,恐怖游轮,8.4,2009,英国 澳大利亚,剧情 悬疑 惊悚
189,黑客帝国3：矩阵革命,8.7,2003,美国 澳大利亚,动作 科幻
190,海街日记,8.7,2015,日本,剧情 家庭
191,魂断蓝桥,8.8,1940,美国,剧情 爱情 战争
192,猜火车,8.5,1996,英国,剧情 犯罪
193,罗生门,8.8,1950,日本,犯罪 剧情 悬疑
194,完美陌生人,8.5,2016,意大利,剧情 喜剧
195,头号玩家,8.7,2018,美国,动作 科幻 冒险
196,惊魂记,8.9,1960,美国,悬疑 惊悚 恐怖
197,阿飞正传,8.5,1990,香港,犯罪 剧情 爱情
198,香水,8.5,2006,德国 法国 西班牙 美国,剧情 犯罪 奇幻
199,功夫,8.4,2004,中国大陆 中国香港,动作 喜剧 犯罪 奇幻
200,可可西里,8.7,2004,中国大陆 香港,剧情 犯罪
201,谍影重重2,8.6,2004,美国 德国,动作 悬疑 惊悚
202,朗读者,8.5,2008,美国 德国,剧情 爱情
203,牯岭街少年杀人事件,8.8,1991,中国台湾,剧情 犯罪
204,浪潮,8.7,2008,德国,剧情 惊悚
205,谍影重重,8.6,2002,美国 德国 捷克,动作 悬疑 惊悚
206,战争之王,8.6,2005,美国 法国,剧情 犯罪
207,疯狂的石头,8.4,2006,中国大陆 香港,喜剧 犯罪
208,地球上的星星,8.9,2007,印度,剧情 儿童 家庭
209,初恋这件小事,8.3,2010,泰国,剧情 喜剧 爱情
210,青蛇,8.5,1993,香港,剧情 爱情 奇幻 古装
211,终结者2：审判日,8.6,1991,美国 法国,动作 科幻
212,爱在午夜降临前,8.8,2013,美国 希腊,剧情 爱情
213,源代码,8.4,2011,美国 加拿大,科幻 悬疑 惊悚
214,新龙门客栈,8.5,1992,中国香港 中国大陆,动作 爱情 武侠 古装
215,步履不停,8.8,2008,日本,剧情 家庭
216,奇迹男孩,8.6,2017,美国 中国香港,剧情 儿童 家庭
217,小萝莉的猴神大叔,8.5,2015,印度,剧情 喜剧 动作
218,无耻混蛋,8.5,2009,美国 德国,剧情 犯罪
219,一次别离,8.7,2011,伊朗 法国,剧情 家庭
220,追随,8.9,1998,英国,犯罪 悬疑 惊悚
221,再次出发之纽约遇见你,8.5,2013,美国,喜剧 爱情 音乐
222,釜山行,8.4,2016,韩国,动作 惊悚 灾难
223,血钻,8.6,2006,美国 德国,剧情 惊悚 冒险
224,彗星来的那一夜,8.5,2013,美国 英国,科幻 悬疑 惊悚
225,新世界,8.7,2013,韩国,剧情 犯罪
226,城市之光,9.3,1931,美国,喜剧 剧情 爱情
227,东京物语,9.2,1953,日本,剧情 家庭
228,2001太空漫游,8.7,1968,英国 美国,科幻 惊悚 冒险
229,撞车,8.6,2004,美国 德国,犯罪 剧情
230,绿里奇迹,8.7,1999,美国,犯罪 剧情 奇幻 悬疑
231,梦之安魂曲,8.7,2000,美国,剧情
232,疯狂的麦克斯4：狂暴之路,8.6,2015,澳大利亚 美国,动作 科幻 冒险
233,聚焦,8.8,2015,美国,剧情 传记
234,E.T. 外星人,8.6,1982,美国,剧情 科幻
235,黑鹰坠落,8.6,2001,美国,动作 历史 战争
236,这个男人来自地球,8.5,2007,美国,剧情 科幻
237,末路狂花,8.7,1991,美国 法国,犯罪 剧情 惊悚
238,遗愿清单,8.6,2007,美国,冒险 喜剧 剧情
239,发条橙,8.5,1971,英国 美国,犯罪 剧情 科幻
240,变脸,8.4,1997,美国,动作 科幻 犯罪 惊悚
241,勇闯夺命岛,8.6,1996,美国,动作 冒险
242,国王的演讲,8.4,2010,英国 澳大利亚 美国,剧情 传记 历史
243,我爱你,9.0,2011,韩国,剧情 爱情
244,千钧一发,8.7,1997,美国,剧情 科幻 惊悚
245,黄金三镖客,9.1,1966,意大利 西班牙 西德,冒险 西部
246,非常嫌疑犯,8.6,1995,德国 美国,剧情 犯罪 悬疑 惊悚
247,秒速5厘米,8.3,2007,日本,动画 剧情 爱情
248,驴得水,8.3,2016,中国大陆,剧情 喜剧
249,哈利・波特与密室,8.4,2002,美国 英国 德国,奇幻 冒险
250,哈利・波特与阿兹卡班的囚徒,8.5,2004,英国 美国,剧情 奇幻 冒险
